"Name","nearood","farood","perturb_power","delta","lambd"
"glowing-sweep-39","83.91779144391101","90.23046475200168","2.0","8.0","3.00"
"clean-sweep-36","83.8943825061935","89.9630859969285","2.0","8.0","2.75"
"fast-sweep-33","83.860174505986","89.65218612367947","2.0","8.0","2.50"
"clear-sweep-30","83.78678882251829","89.27920635501448","2.0","8.0","2.25"
"dry-sweep-27","83.669855027985","88.81765729188497","2.0","8.0","2.00"
"lemon-sweep-24","83.4938906218625","88.31106966180556","2.0","8.0","1.75"
"cool-sweep-21","83.3008166768397","87.88813827731708","2.0","8.0","1.50"
"devout-sweep-18","83.05621263934162","87.57087506461006","2.0","8.0","1.25"
"chocolate-sweep-15","82.75253877967585","87.34066766744387","2.0","8.0","1.00"
"hearty-sweep-12","82.35619265617967","87.03348551034537","2.0","8.0","0.75"
"frosty-sweep-9","81.86851446074829","86.54128705039722","2.0","8.0","0.50"
"vivid-sweep-6","81.3162534907868","85.87948840491143","2.0","8.0","0.25"
"worldly-sweep-3","80.72580321533387","85.11749437277453","2.0","8.0","0.00"
